month,year,month_num,weighted_O,weighted_R,weighted_alpha,weighted_ORA_sum,hostile_event_count,hostile_signal_raw,hostile_admission_count,hostile_allegation_count,hostile_procedural_count,hostile_signal_decay_3m,hostile_signal_decay_6m,hostile_signal_decay_12m,month_str
2022-07-01,2022,7,2.4047619047619047,2.801457194899818,2.095134009888108,7.30135310954983,0.0,0.0,0.0,0.0,0.0,0.2785724451437568,0.9755375824869492,2.7142253572197883,2022-07
2022-08-01,2022,8,2.403968253968254,2.816514875531269,2.1115187787318934,7.332001908231415,0.0,0.0,0.0,0.0,0.0,0.22110309623527655,0.8691051817353486,2.5618875935090517,2022-08
2022-09-01,2022,9,2.403174603174603,2.8315725561627203,2.1279035475756785,7.362650706913001,0.0,0.0,0.0,0.0,0.0,0.17548964377865203,0.7742846923371487,2.418099891491114,2022-09
2022-10-01,2022,10,2.4023809523809523,2.846630236794171,2.144288316419464,7.393299505594587,1.0,1.7999999999999998,0.0,0.0,1.0,1.9392862225718783,2.4898092398788525,4.082382373076853,2022-10
2022-11-01,2022,11,2.4015873015873015,2.8616879174256225,2.160673085263249,7.4239483042761725,0.0,0.0,0.0,0.0,0.0,1.5392124948890178,2.2181678602220423,3.8532558564917756,2022-11
2022-12-01,2022,12,2.4007936507936507,2.8767455980570733,2.1770578541070345,7.454597102957758,0.0,0.0,0.0,0.0,0.0,1.221673766794712,1.9761629032919168,3.636989223132885,2022-12
2023-01-01,2023,1,2.4,2.8918032786885246,2.1934426229508195,7.485245901639344,0.0,0.0,0.0,0.0,0.0,0.9696431112859394,1.76056099737926,3.4328607032152783,2023-01
2023-02-01,2023,2,2.4007829977628634,2.9008196721311474,2.1929823596288553,7.494585029522866,0.0,0.0,0.0,0.0,0.0,0.7696062474445091,1.56848153577306,3.240189036779316,2023-02
2023-03-01,2023,3,2.401565995525727,2.9098360655737707,2.1925220963068908,7.503924157406388,0.0,0.0,0.0,0.0,0.0,0.6108368833973561,1.3973581896470098,3.0583312000488356,2023-03
2023-04-01,2023,4,2.4023489932885904,2.9188524590163936,2.1920618329849266,7.51326328528991,0.0,0.0,0.0,0.0,0.0,0.48482155564296975,1.244904619939426,2.8866802593990735,2023-04
2023-05-01,2023,5,2.403131991051454,2.9278688524590164,2.1916015696629625,7.522602413173432,0.0,0.0,0.0,0.0,0.0,0.3848031237222546,1.109083930111021,2.724663345772113,2023-05
2023-06-01,2023,6,2.4039149888143174,2.9368852459016392,2.1911413063409984,7.531941541056955,0.0,0.0,0.0,0.0,0.0,0.3054184416986781,0.9880814516459582,2.571739742779657,2023-06
2023-07-01,2023,7,2.4046979865771814,2.945901639344262,2.190681043019034,7.541280668940477,0.0,0.0,0.0,0.0,0.0,0.24241077782148493,0.8802804986896298,2.427399082112344,2023-07
