state,state_abbr,year,sex,pct_sadness,pct_sadness_lo,pct_sadness_hi,pct_suicide,pct_suicide_lo,pct_suicide_hi,n_sadness,n_suicide
Indiana,IN,2011,Male,23.72,18.99,29.2,16.33,13.02,20.28,1325,1351
Indiana,IN,2011,Total,29.06,26.33,31.95,18.93,15.82,22.49,2797,2847
Indiana,IN,2015,Female,39.15,33.6,45.0,25.95,22.22,30.07,970,994
Indiana,IN,2015,Male,19.81,17.54,22.31,13.65,10.47,17.61,883,898
Indiana,IN,2015,Total,29.35,26.96,31.86,19.77,17.94,21.73,1864,1903
Indiana,IN,2021,Female,60.4,54.8,65.8,37.9,33.5,42.6,,
Indiana,IN,2021,Male,34.1,30.2,38.2,17.8,12.7,24.4,,
Indiana,IN,2021,Total,46.9,42.7,51.1,27.7,23.0,33.0,,
Indiana,IN,2023,Female,60.1,54.8,65.2,33.6,28.5,39.1,,
Indiana,IN,2023,Male,33.5,27.7,39.9,16.5,11.2,23.6,,
Indiana,IN,2023,Total,47.0,43.2,50.9,25.2,21.1,29.7,,
Kansas,KS,2011,Female,26.94,23.6,30.57,13.64,11.08,16.68,1004,1006
Kansas,KS,2011,Male,16.98,14.01,20.43,10.03,8.46,11.86,860,858
Kansas,KS,2011,Total,21.86,19.14,24.86,11.78,10.29,13.46,1869,1867
Kansas,KS,2013,Female,32.16,28.39,36.18,19.37,16.58,22.5,994,1003
Kansas,KS,2013,Male,16.13,13.64,18.98,13.58,11.31,16.22,922,923
Kansas,KS,2013,Total,23.99,21.37,26.83,16.44,14.47,18.62,1919,1930
Kansas,KS,2017,Female,32.98,29.05,37.17,19.68,17.14,22.49,1287,1307
Kansas,KS,2017,Male,17.08,13.85,20.88,11.44,8.3,15.57,1075,1087
Kansas,KS,2017,Total,24.84,22.5,27.34,15.57,13.55,17.83,2368,2400
Kansas,KS,2019,Female,40.9,36.0,45.9,22.4,18.4,27.1,,
Kansas,KS,2019,Male,24.4,21.0,28.2,14.4,11.2,18.3,,
Kansas,KS,2019,Total,32.5,28.9,36.2,18.4,15.6,21.7,,
Kansas,KS,2021,Female,47.7,43.1,52.4,25.4,21.4,29.9,,
Kansas,KS,2021,Male,26.9,23.4,30.8,13.0,10.4,16.2,,
Kansas,KS,2021,Total,37.7,34.9,40.7,19.5,17.0,22.2,,
Kentucky,KY,2011,Female,32.12,28.56,35.91,17.96,14.7,21.76,841,838
Kentucky,KY,2011,Male,22.08,18.97,25.55,11.58,9.25,14.4,873,873
Kentucky,KY,2011,Total,27.04,24.48,29.76,14.83,12.43,17.61,1721,1716
Kentucky,KY,2013,Female,31.7,27.48,36.25,19.21,14.81,24.56,783,780
Kentucky,KY,2013,Male,20.01,17.52,22.74,10.86,8.46,13.84,829,829
Kentucky,KY,2013,Total,25.75,22.82,28.91,14.99,12.13,18.39,1618,1615
Kentucky,KY,2015,Female,42.51,37.24,47.96,20.63,16.92,24.92,1304,1312
Kentucky,KY,2015,Male,20.55,17.47,24.01,10.63,8.58,13.1,1221,1218
Kentucky,KY,2015,Total,31.35,28.02,34.88,15.69,13.77,17.83,2543,2544
Kentucky,KY,2017,Female,40.89,37.2,44.68,19.4,16.95,22.12,1011,1009
Kentucky,KY,2017,Male,17.6,14.79,20.82,9.61,7.44,12.33,950,945
Kentucky,KY,2017,Total,29.23,26.67,31.93,14.83,12.93,16.96,1973,1966
Kentucky,KY,2019,Female,46.7,43.3,50.2,21.3,18.5,24.4,,
Kentucky,KY,2019,Male,27.8,23.9,32.1,14.6,12.0,17.6,,
Kentucky,KY,2019,Total,37.2,34.3,40.1,18.4,16.1,20.9,,
Kentucky,KY,2021,Female,51.6,47.5,55.7,24.7,20.1,30.0,,
Kentucky,KY,2021,Male,26.9,23.2,30.8,13.7,11.4,16.5,,
Kentucky,KY,2021,Total,39.2,36.1,42.4,19.1,16.1,22.5,,
Kentucky,KY,2023,Female,52.0,49.1,54.9,22.7,19.6,26.2,,
Kentucky,KY,2023,Male,31.6,28.6,34.7,14.8,12.9,17.0,,
Kentucky,KY,2023,Total,41.6,38.9,44.2,18.6,16.7,20.8,,
Louisiana,LA,2011,Female,34.87,30.89,39.07,17.12,11.04,25.58,632,635
Louisiana,LA,2011,Male,24.94,19.01,31.99,15.64,11.45,21.0,505,503
Louisiana,LA,2011,Total,30.11,26.57,33.89,16.42,12.09,21.92,1139,1140
Louisiana,LA,2013,Female,34.22,29.8,38.94,20.24,16.55,24.52,578,582
Louisiana,LA,2013,Male,28.15,22.97,33.97,15.9,11.95,20.85,486,492
Louisiana,LA,2013,Total,31.37,27.5,35.53,18.52,15.74,21.67,1067,1081
Louisiana,LA,2017,Female,40.62,35.75,45.68,21.37,17.84,25.39,597,598
Louisiana,LA,2017,Male,22.35,17.04,28.72,13.44,9.75,18.24,594,598
Louisiana,LA,2017,Total,31.72,27.13,36.7,17.84,14.8,21.35,1197,1209
Louisiana,LA,2019,Female,45.5,39.9,51.3,22.5,18.2,27.6,,
Louisiana,LA,2019,Male,28.4,24.6,32.5,12.3,9.7,15.6,,
Louisiana,LA,2019,Total,37.0,33.7,40.3,17.7,15.3,20.3,,
Louisiana,LA,2021,Female,59.6,52.4,66.5,36.6,27.7,46.5,,
Louisiana,LA,2021,Male,35.7,25.8,46.9,17.5,10.5,27.9,,
Louisiana,LA,2021,Total,47.5,41.1,54.0,26.9,19.4,36.1,,
Massachusetts,MA,2011,Female,31.54,29.11,34.07,16.09,14.07,18.34,1322,1346
Massachusetts,MA,2011,Male,19.04,16.62,21.72,10.49,9.07,12.1,1339,1359
Massachusetts,MA,2011,Total,25.2,23.32,27.18,13.33,12.07,14.7,2667,2713
Massachusetts,MA,2013,Female,29.16,25.81,32.74,16.05,14.05,18.27,1327,1320
Massachusetts,MA,2013,Male,14.39,12.51,16.51,7.8,6.46,9.39,1357,1353
