topology,scenario,timestep,n_infected
erdos_renyi,B_hub,17.8000,29
erdos_renyi,B_hub,17.9000,28
erdos_renyi,B_hub,18.0000,24
erdos_renyi,B_hub,18.1000,25
erdos_renyi,B_hub,18.2000,26
erdos_renyi,B_hub,18.3000,26
erdos_renyi,B_hub,18.4000,29
erdos_renyi,B_hub,18.5000,27
erdos_renyi,B_hub,18.6000,28
erdos_renyi,B_hub,18.7000,26
erdos_renyi,B_hub,18.8000,26
erdos_renyi,B_hub,18.9000,28
erdos_renyi,B_hub,19.0000,27
erdos_renyi,B_hub,19.1000,25
erdos_renyi,B_hub,19.2000,26
erdos_renyi,B_hub,19.3000,26
erdos_renyi,B_hub,19.4000,26
erdos_renyi,B_hub,19.5000,29
erdos_renyi,B_hub,19.6000,28
erdos_renyi,B_hub,19.7000,29
erdos_renyi,B_hub,19.8000,30
erdos_renyi,B_hub,19.9000,27
erdos_renyi,B_hub,20.0000,29
erdos_renyi,C_cluster,0.0000,61
erdos_renyi,C_cluster,0.1000,35
erdos_renyi,C_cluster,0.2000,21
erdos_renyi,C_cluster,0.3000,1
erdos_renyi,C_cluster,0.4000,0
erdos_renyi,C_cluster,0.5000,0
erdos_renyi,C_cluster,0.6000,14
erdos_renyi,C_cluster,0.7000,23
erdos_renyi,C_cluster,0.8000,26
erdos_renyi,C_cluster,0.9000,27
erdos_renyi,C_cluster,1.0000,29
erdos_renyi,C_cluster,1.1000,28
erdos_renyi,C_cluster,1.2000,29
erdos_renyi,C_cluster,1.3000,29
erdos_renyi,C_cluster,1.4000,28
erdos_renyi,C_cluster,1.5000,29
erdos_renyi,C_cluster,1.6000,27
erdos_renyi,C_cluster,1.7000,26
erdos_renyi,C_cluster,1.8000,25
erdos_renyi,C_cluster,1.9000,26
erdos_renyi,C_cluster,2.0000,25
erdos_renyi,C_cluster,2.1000,28
erdos_renyi,C_cluster,2.2000,25
erdos_renyi,C_cluster,2.3000,25
erdos_renyi,C_cluster,2.4000,24
erdos_renyi,C_cluster,2.5000,23
erdos_renyi,C_cluster,2.6000,22
erdos_renyi,C_cluster,2.7000,27
erdos_renyi,C_cluster,2.8000,27
erdos_renyi,C_cluster,2.9000,26
erdos_renyi,C_cluster,3.0000,25
erdos_renyi,C_cluster,3.1000,26
erdos_renyi,C_cluster,3.2000,25
erdos_renyi,C_cluster,3.3000,23
erdos_renyi,C_cluster,3.4000,25
erdos_renyi,C_cluster,3.5000,26
erdos_renyi,C_cluster,3.6000,24
erdos_renyi,C_cluster,3.7000,25
erdos_renyi,C_cluster,3.8000,24
erdos_renyi,C_cluster,3.9000,24
erdos_renyi,C_cluster,4.0000,26
erdos_renyi,C_cluster,4.1000,26
erdos_renyi,C_cluster,4.2000,26
erdos_renyi,C_cluster,4.3000,28
erdos_renyi,C_cluster,4.4000,27
erdos_renyi,C_cluster,4.5000,25
erdos_renyi,C_cluster,4.6000,27
erdos_renyi,C_cluster,4.7000,27
erdos_renyi,C_cluster,4.8000,28
erdos_renyi,C_cluster,4.9000,25
erdos_renyi,C_cluster,5.0000,26
erdos_renyi,C_cluster,5.1000,25
erdos_renyi,C_cluster,5.2000,23
erdos_renyi,C_cluster,5.3000,23
erdos_renyi,C_cluster,5.4000,25
erdos_renyi,C_cluster,5.5000,24
erdos_renyi,C_cluster,5.6000,25
erdos_renyi,C_cluster,5.7000,28
erdos_renyi,C_cluster,5.8000,25
erdos_renyi,C_cluster,5.9000,26
erdos_renyi,C_cluster,6.0000,25
erdos_renyi,C_cluster,6.1000,24
erdos_renyi,C_cluster,6.2000,26
erdos_renyi,C_cluster,6.3000,27
erdos_renyi,C_cluster,6.4000,28
erdos_renyi,C_cluster,6.5000,28
erdos_renyi,C_cluster,6.6000,25
erdos_renyi,C_cluster,6.7000,24
erdos_renyi,C_cluster,6.8000,24
erdos_renyi,C_cluster,6.9000,26
erdos_renyi,C_cluster,7.0000,26
erdos_renyi,C_cluster,7.1000,27
erdos_renyi,C_cluster,7.2000,26
erdos_renyi,C_cluster,7.3000,27
erdos_renyi,C_cluster,7.4000,25
erdos_renyi,C_cluster,7.5000,24
erdos_renyi,C_cluster,7.6000,25
erdos_renyi,C_cluster,7.7000,24
erdos_renyi,C_cluster,7.8000,26
erdos_renyi,C_cluster,7.9000,27
erdos_renyi,C_cluster,8.0000,27
erdos_renyi,C_cluster,8.1000,27
erdos_renyi,C_cluster,8.2000,26
erdos_renyi,C_cluster,8.3000,25
erdos_renyi,C_cluster,8.4000,29
