Pe_start,M,K_eff,F,c_function
10,85,1.00055829,-0.00027911,0.0
10,86,1.00055829,-0.00027911,0.0
10,87,1.00055829,-0.00027911,0.0
10,88,1.00055829,-0.00027911,0.0
10,89,1.00055829,-0.00027911,0.0
10,90,1.00055829,-0.00027911,0.0
10,91,1.00055829,-0.00027911,0.0
10,92,1.00055829,-0.00027911,0.0
10,93,1.00055829,-0.00027911,0.0
10,94,1.00055829,-0.00027911,0.0
10,95,1.00055829,-0.00027911,0.0
10,96,1.00055829,-0.00027911,0.0
10,97,1.00055829,-0.00027911,0.0
10,98,1.00055829,-0.00027911,0.0
10,99,1.00055829,-0.00027911,0.0
10,100,1.00055829,-0.00027911,0.0
10,101,1.00055829,-0.00027911,0.0
10,102,1.00055829,-0.00027911,0.0
10,103,1.00055829,-0.00027911,0.0
10,104,1.00055829,-0.00027911,0.0
10,105,1.00055829,-0.00027911,0.0
10,106,1.00055829,-0.00027911,0.0
10,107,1.00055829,-0.00027911,0.0
10,108,1.00055829,-0.00027911,0.0
10,109,1.00055829,-0.00027911,0.0
10,110,1.00055829,-0.00027911,0.0
10,111,1.00055829,-0.00027911,0.0
10,112,1.00055829,-0.00027911,0.0
10,113,1.00055829,-0.00027911,0.0
10,114,1.00055829,-0.00027911,0.0
10,115,1.00055829,-0.00027911,0.0
10,116,1.00055829,-0.00027911,0.0
10,117,1.00055829,-0.00027911,0.0
10,118,1.00055829,-0.00027911,0.0
10,119,1.00055829,-0.00027911,0.0
10,120,1.00055829,-0.00027911,0.0
10,121,1.00055829,-0.00027911,0.0
10,122,1.00055829,-0.00027911,0.0
10,123,1.00055829,-0.00027911,0.0
10,124,1.00055829,-0.00027911,0.0
10,125,1.00055829,-0.00027911,0.0
10,126,1.00055829,-0.00027911,0.0
10,127,1.00055829,-0.00027911,0.0
10,128,1.00055829,-0.00027911,0.0
10,129,1.00055829,-0.00027911,0.0
10,130,1.00055829,-0.00027911,0.0
10,131,1.00055829,-0.00027911,0.0
10,132,1.00055829,-0.00027911,0.0
10,133,1.00055829,-0.00027911,0.0
10,134,1.00055829,-0.00027911,0.0
10,135,1.00055829,-0.00027911,0.0
10,136,1.00055829,-0.00027911,0.0
10,137,1.00055829,-0.00027911,0.0
10,138,1.00055829,-0.00027911,0.0
10,139,1.00055829,-0.00027911,0.0
10,140,1.00055829,-0.00027911,0.0
10,141,1.00055829,-0.00027911,0.0
10,142,1.00055829,-0.00027911,0.0
10,143,1.00055829,-0.00027911,0.0
10,144,1.00055829,-0.00027911,0.0
10,145,1.00055829,-0.00027911,0.0
10,146,1.00055829,-0.00027911,0.0
10,147,1.00055829,-0.00027911,0.0
10,148,1.00055829,-0.00027911,0.0
10,149,1.00055829,-0.00027911,0.0
